role,certification_name,provider,link
IT Support,Google IT Support Professional Certificate,Coursera,https://www.coursera.org/professional-certificates/google-it-support
IT Support,IT Fundamentals (ITF+),CompTIA,https://www.comptia.org/certifications/it-fundamentals
IT Support,CompTIA A+,CompTIA,https://www.comptia.org/certifications/a
IT Support,Microsoft 365 Fundamentals,Microsoft,https://learn.microsoft.com/en-us/certifications/microsoft-365-fundamentals/

System Administrator,Microsoft Certifications,Microsoft,https://learn.microsoft.com/en-us/certifications/
System Administrator,Azure Administrator Associate,Microsoft,https://learn.microsoft.com/en-us/certifications/azure-administrator/
System Administrator,Red Hat Certified System Administrator (RHCSA),Red Hat,https://www.redhat.com/en/services/certification/rhcsa
System Administrator,LPIC-1 Linux Administrator,LPI,https://www.lpi.org/our-certifications/lpic-1-overview/

Network Support,CompTIA Network+,CompTIA,https://www.comptia.org/certifications/network
Network Support,Cisco CCNA,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccna/index.html
Network Support,Cisco Support Technician,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician.html
Network Support,Juniper Networks Certification,Juniper,https://www.juniper.net/us/en/training/certification/tracks/junos.html

Cloud Support,AWS Certified Cloud Practitioner,AWS,https://aws.amazon.com/certification/certified-cloud-practitioner/
Cloud Support,Microsoft Azure Fundamentals,Microsoft,https://learn.microsoft.com/en-us/certifications/azure-fundamentals/
Cloud Support,AWS Solutions Architect Associate,AWS,https://aws.amazon.com/certification/certified-solutions-architect-associate/
Cloud Support,Azure Administrator Associate,Microsoft,https://learn.microsoft.com/en-us/certifications/azure-administrator/

Cybersecurity,Google Cybersecurity Professional Certificate,Coursera,https://www.coursera.org/professional-certificates/google-cybersecurity
Cybersecurity,CompTIA Security+,CompTIA,https://www.comptia.org/certifications/security
Cybersecurity,Certified Ethical Hacker (CEH),EC-Council,https://www.eccouncil.org/train-certify/certified-ethical-hacker-ceh/
Cybersecurity,Cisco CyberOps Associate,Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/security/cyberops-associate.html

role,certification_name,provider,link
Data Analyst,Google Data Analytics Professional Certificate,Google,https://grow.google/intl/en_in/certificates/
Data Analyst,Data Analytics Certification,Data Tutorials,https://www.youtube.com/playlist?list=PLtS8Ubq2bIlVN4Zom0O-6rBysJs3wns60
Data Analyst,SQL for Data Analysis Certification,YouTube Course,https://www.youtube.com/watch?v=LSBF_vCP6UU

Business Analyst,Business Analysis Certification,Udemy,https://www.udemy.com/course/business-analysis-certification/
Business Analyst,Scrum Master Certification,Udemy,https://www.udemy.com/course/scrum-master-certification-c/
Business Analyst,ECBA Business Analysis Certification,IIBA / Udemy,https://www.udemy.com/course/the-business-analysis-certification-program-iiba-ecba/

Data Scientist,Data Science Certification,Udemy,https://www.udemy.com/topic/data-science/
